"date";"code_village";"count_outb";"Semaine"
09/07/2004;"650906_09";1;0
12/07/2004;"650102_03";1;1
22/07/2004;"650104_0";1;2
22/07/2004;"650106_03";1;2
11/08/2004;"650601_04";1;5
12/08/2004;"650105_10";1;5
12/08/2004;"650117_17";1;5
12/08/2004;"650201_04";1;5
12/08/2004;"650505_02";2;5
12/08/2004;"650506_09";6;5
12/08/2004;"650507_08";3;5
12/08/2004;"650507_11";2;5
12/08/2004;"650508_02";1;5
12/08/2004;"650602_11";1;5
12/08/2004;"650602_12";2;5
12/08/2004;"650805_04";1;5
16/08/2004;"650402_04";1;6
26/08/2004;"650502_03";1;7
28/08/2004;"650905_09";1;7
11/09/2004;"650810_08";1;9
12/09/2004;"650102_06";1;9
12/09/2004;"650505_07";1;9
12/09/2004;"650605_03";2;9
15/09/2004;"650503_10";2;10
11/10/2004;"650106_09";1;14
11/10/2004;"650502_07";2;14
11/10/2004;"650506_11";1;14
11/10/2004;"650507_09";2;14
12/10/2004;"650102_02";1;14
12/10/2004;"650118_02";1;14
12/10/2004;"650502_10";1;14
12/10/2004;"650506_10";1;14
15/10/2004;"650402_03";1;14
15/10/2004;"650405_10";1;14
15/10/2004;"650705_07";1;14
16/10/2004;"650401_05";1;14
16/10/2004;"650409_08";1;14
17/10/2004;"650410_04";1;14
18/10/2004;"650902_08";1;15
19/10/2004;"650903_02";1;15
21/10/2004;"650402_02";1;15
21/10/2004;"650402_03";1;15
21/10/2004;"650402_04";1;15
21/10/2004;"650406_15";1;15
21/10/2004;"650408_09";1;15
21/10/2004;"650603_11";1;15
21/10/2004;"650903_16";1;15
21/10/2004;"650907_03";1;15
21/10/2004;"650907_04";1;15
22/10/2004;"650401_13";1;15
22/10/2004;"650402_04";1;15
23/10/2004;"650408_08";1;15
26/10/2004;"650120_06";1;16
26/10/2004;"650602_03";1;16
26/10/2004;"650602_05";1;16
26/10/2004;"650609_08";1;16
26/10/2004;"650804_01";1;16
27/10/2004;"650204_01";1;16
27/10/2004;"650410_04";1;16
28/10/2004;"650408_10";1;16
10/11/2004;"650120_06";1;18
10/11/2004;"650902_02";1;18
15/11/2004;"650106_04";1;19
16/11/2004;"650105_10";1;19
16/11/2004;"650507_03";2;19
16/11/2004;"650706_09";1;19
18/11/2004;"650504_06";2;19
18/11/2004;"650607_05";1;19
19/11/2004;"650501_05";1;19
19/11/2004;"650507_03";2;19
23/11/2004;"650102_07";1;20
23/11/2004;"650507_02";1;20
23/11/2004;"650602_06";1;20
24/11/2004;"650105_07";1;20
24/11/2004;"650203_02";1;20
24/11/2004;"650807_13";1;20
25/11/2004;"650504_02";2;20
25/11/2004;"650507_01";1;20
26/11/2004;"650602_09";1;20
26/11/2004;"650608_03";1;20
26/11/2004;"650610_09";2;20
27/11/2004;"650504_01";1;20
30/11/2004;"650602_08";1;21
11/12/2004;"650113_0";1;22
11/12/2004;"650120_01";1;22
11/12/2004;"650501_07";1;22
11/12/2004;"650501_09";1;22
11/12/2004;"650502_05";1;22
11/12/2004;"650607_08";1;22
16/12/2004;"650501_03";1;23
16/12/2004;"650503_07";1;23
18/12/2004;"650113_10";1;23
18/12/2004;"650505_04";1;23
18/12/2004;"650505_08";2;23
21/12/2004;"650110_07";1;24
21/12/2004;"650505_05";1;24
22/12/2004;"650111_03";1;24
22/12/2004;"650505_08";1;24
23/12/2004;"650110_02";2;24
23/12/2004;"650114_02";1;24
27/12/2004;"650102_03";1;25
27/12/2004;"650105_06";1;25
27/12/2004;"650107_01";1;25
27/12/2004;"650506_11";1;25
28/12/2004;"650101_0";1;25
29/12/2004;"650117_03";3;25
29/12/2004;"650604_01";1;25
02/01/2005;"650509_01";6;25
02/01/2005;"650509_03";2;25
02/01/2005;"650601_01";1;25
02/01/2005;"650601_10";1;25
02/01/2005;"650601_12";1;25
02/01/2005;"650611_03";1;25
02/01/2005;"650611_04";1;25
02/01/2005;"650611_05";1;25
02/01/2005;"650611_06";1;25
02/01/2005;"650612_07";1;25
02/01/2005;"650612_10";1;25
02/01/2005;"650702_06";1;25
15/01/2005;"650114_04";1;27
17/01/2005;"650107_02";1;28
17/01/2005;"650118_01";1;28
18/01/2005;"650107_01";1;28
19/01/2005;"650611_01";1;28
21/01/2005;"650610_03";2;28
21/01/2005;"650808_01";1;28
25/01/2005;"650809_05";1;29
26/01/2005;"650107_01";1;29
26/01/2005;"650509_02";1;29
27/01/2005;"650508_04";2;29
02/02/2005;"650603_01";1;30
02/02/2005;"650703_02";1;30
02/02/2005;"650703_06";1;30
20/02/2005;"650603_08";1;32
01/04/2005;"650101_0";1;38
01/04/2005;"650101_09";1;38
02/04/2005;"650509_08";1;38
02/04/2005;"650603_01";1;38
01/05/2005;"650505_06";1;42
