cat|VIL_NAME_T|VIL_LTD_DI|VIL_LTS_SU|VIL_ENG|VIL_CODE|DIST_NAME|SUBD_NAME|village_wi|XX|YY|essai
1|1|6501|650119|PAIKHODON|650119_01|MueangPhitsanul|PhaiKhoDon|SinglesettlementofBanPhaiKhoDon|627068|1870871|1
2|2|6501|650119|PAIKHODON|650119_02|MueangPhitsanul|PhaiKhoDon|SinglesettlementofBanPhaiKhoDon|627436|1871184|1
3|3|6501|650119|PAIKHODON|650119_03|MueangPhitsanul|PhaiKhoDon|SinglesettlementofBanPhaiKhoDon|627222|1870333|1
4|4|6501|650119|PAIKHODON|650119_04|MueangPhitsanul|PhaiKhoDon|SinglesettlementofBanPhaiKhoDon|626817|1870502|1
5|5|6501|650119|PAIKHODON|650119_05|MueangPhitsanul|PhaiKhoDon|SinglesettlementofBanPhaiKhoDon|627383|1870956|1
6|6|6501|650119|PAIKHODON|650119_06|||SinglesettlementofBanPhaiKhoDon|623718|1871424|1
7|1|6501|650120|PAKPING(EASTERN)|650120_01|||BanPakPhing|630074|1840673|1
8|2|6501|650120|PAKPING(WESTERN)|650120_02|MueangPhitsanul|NgioNgam|BanPakPhing|631749|1841787|1
9|3|6501|650120|PAKPING|650120_03|MueangPhitsanul|NgioNgam|BanPakPhing|632175|1842259|1
10|4|6501|650120|NGEUNGAM|650120_04|MueangPhitsanul|NgioNgam|BanNgioNgam|633965|1844553|1
11|5|6501|650120|BANGSAI|650120_05|MueangPhitsanul|NgioNgam|BanBangSai|636184|1843727|1
12|6|6501|650120|PAKPING(WESTERN)|650120_06|MueangPhitsanul|NgioNgam|BanPhingThawanThok|632206|1840649|1
13|7|6501|650120|PEUNGKHUNNON|650120_07|MueangPhitsanul|NgioNgam|BanBuengKunNon|630874|1842850|1
14|1|6501|650112|THATAKEAN|650112_01|MueangPhitsanul|ChomThong|BanSaengDao|632596|1864955|1
15|2|6501|650112|THATAKEAN|650112_02|MueangPhitsanul|ChomThong|BanSaengDao|632440|1865351|1
16|3|6501|650112|THATAKEAN|650112_03|MueangPhitsanul|ChomThong|BanWaengDao|632078|1865795|1
17|4|6501|650112|THATAKEAN|650112_04|MueangPhitsanul|ChomThong|BanPakThok|631070|1867600|1
18|5|6501|650112|JHOMTHONG|650112_05|MueangPhitsanul|ChomThong|BanChomThong|629660|1867795|1
19|6|6501|650112|JHOMTHONG|650112_06|MueangPhitsanul|ChomThong|BanChomThong|629110|1868738|1
20|7|6501|650112|JHOMTHONG|650112_07|MueangPhitsanul|ChomThong|BanChomThong|630471|1868387|1
21|8|6501|650112|THAPHO|650112_08|MueangPhitsanul|ChomThong|BanThaPho|628744|1869537|1
22|9|6501|650112|PHOTHONG|650112_09|MueangPhitsanul|ChomThong|BanPhoThiThong|629689|1869776|1
23|1|6501|650108|DONTHONG|650108_01|MueangPhitsanul|DonThong|BanDonThong|644990|1868241|1
24|2|6501|650108|DONTHONG|650108_02|MueangPhitsanul|DonThong|BanDonThong|644955|1868715|1
25|3|6501|650108|BHANRAI|650108_03|MueangPhitsanul|DonThong|BanRaiBuengTang|640501|1865231|1
26|4|6501|650108|BEUNGTHANG|650108_04|MueangPhitsanul|DonThong|BanThanSuwan|640072|1864107|1
27|5|6501|650108|PAKHUAY|650108_05|MueangPhitsanul|DonThong|BanPakHuai|642679|1863818|1
28|6|6501|650108|SAAK|650108_06|MueangPhitsanul|DonThong|BanSa'ak|644611|1865242|1
29|7|6501|650108|TENGSUMNAK|650108_07|MueangPhitsanul|DonThong|BanThengSamnak|646885|1865125|1
30|8|6501|650108|NHONGKWANGLEE|650108_08|MueangPhitsanul|DonThong|BanNongGwangLee|649374|1869634|1
31|9|6501|650108|RONGYUNGKAW|650108_09|MueangPhitsanul|DonThong|BanRongYungKao|651730|1869489|1
32|10|6501|650108|NHUMDUM|650108_10|MueangPhitsanul|DonThong|BanNamKham|656224|1871370|1
33|11|6501|650108|RONGWAIFARD|650108_11|||BanNaiDong|648222|1871831|1
34|12|6501|650108|BHANRAI|650108_12|MueangPhitsanul|DonThong|BanRai|642233|1866510|1
35|13|6501|650108|BHANKAWFA|650108_13|MueangPhitsanul|DonThong|BanKaoFa|650231|1866404|1
36|14|6501|650108|HINLAD|650108_14|MueangPhitsanul|DonThong|BanHinLat|652921|1875574|1
37|1|6501|650106|WANGSOMSA|650106_01|MueangPhitsanul|ThaPho|BanWangSomSa|630403|1852317|1
38|2|6501|650106|WANGSOMSA|650106_02|||BanWangSomSa|629770|1856034|1
39|3|6501|650106|WANGWON|650106_03|MueangPhitsanul|ThaPho|BanWangWon|629381|1853778|1
40|4|6501|650106|BHANKLONGKU|650106_04|MueangPhitsanul|ThaPho|BanKhlongKhoo|624675|1854876|1
41|5|6501|650106|YANG|650106_05|MueangPhitsanul|ThaPho|BanYang|628415|1854215|1
42|6|6501|650106|YANGAIN|650106_06|MueangPhitsanul|ThaPho|BanYang|629023|1853992|1
43|7|6501|650106|THAPHO|650106_07|MueangPhitsanul|ThaPho|BanThaPho|628506|1853104|1
44|9|6501|650106|BHANKEAG|650106_09|MueangPhitsanul|ThaPho|BanKhlongNongLek|627217|1850604|1
45|8|6501|650106|KLONGNHONGLEK|650106_08|MueangPhitsanul|ThaPho|BanKaek|629242|1852123|1
46|10|6501|650106|HUAKRATHING|650106_10|MueangPhitsanul|ThaPho|BanHuaKrathing|624641|1854091|1
47|11|6501|650106|NAIRAI|650106_11|MueangPhitsanul|ThaPho||626528|1854824|1
48|1|6501|650105|KOK|650105_01|||BanKrok|630677|1857226|1
49|2|6501|650105|WATJURAMANEE|650105_02|MueangPhitsanul|ThaThong|BanWatChulaManee|629278|1856019|1
50|3|6501|650105|THATONG(EASTERN)|650105_03|MueangPhitsanul|ThaThong|BanThaThong|629834|1855355|1
51|4|6501|650105|JUNGNANG|650105_04|MueangPhitsanul|ThaThong|BanJungNang(part)|628394|1855499|1
52|5|6501|650105|THATONG|650105_05|MueangPhitsanul|ThaThong|BanThaThong|629170|1854997|1
53|6|6501|650105|RAI|650105_06|MueangPhitsanul|ThaThong|BanRai|630002|1856848|1
54|7|6501|650105|NHONGHUAYANG|650105_07|||BanNongHuaYang|624038|1858402|1
55|8|6501|650105|WANGGRABAK|650105_08|MueangPhitsanul|ThaThong|BanWangGrabak|629473|1856942|1
56|9|6501|650105|PAIWONG|650105_09|||BanPhaiwong|624066|1859298|1
57|10|6501|650105|THONWA|650105_10|||BanDonWa|629179|1858043|1
58|11|6501|650105|JUNGNANGNAOK|650105_11|MueangPhitsanul|ThaThong|BanJungNangNok|628013|1855257|1
59|1|6501|650113|DHENBOD|650113_01|MueangPhitsanul|BanKrang|BanDenBot|628780|1864984|1
60|2|6501|650113|BHANKRANG(NORTHERN)|650113_02|MueangPhitsanul|BanKrang|BanKrang|628683|1865985|1
61|3|6501|650113|BHANKRANG|650113_03|MueangPhitsanul|BanKrang|BanKrang|628289|1867373|1
62|4|6501|650113|NHUMAUB|650113_04|MueangPhitsanul|BanKrang|BanKrang|628095|1866256|1
63|5|6501|650113|WANGPAYHA|650113_05|MueangPhitsanul|BanKrang|BanWangPaYai|627773|1866020|1
64|6|6501|650113|KOK|650113_06|MueangPhitsanul|BanKrang|BanKok|627440|1865888|1
65|7|6501|650113|MABMOO|650113_07|MueangPhitsanul|BanKrang|BanKrang|626265|1864911|1
66|8|6501|650113|HUATAE|650113_08|MueangPhitsanul|BanKrang|BanHuaThae|624071|1863499|1
